x;y
269;168.163401
270;168.459277
271;168.755455
272;169.052587
273;169.349205
274;169.644771
275;169.941090
276;170.238268
277;170.534863
278;170.830375
279;171.126745
280;171.423733
281;171.720259
282;172.016016
283;172.312463
284;172.609163
285;172.905507
286;173.201424
287;173.497950
288;173.794632
289;174.090783
290;174.386705
291;174.683137
292;174.979958
293;175.276182
294;175.571967
295;175.868140
296;176.165024
297;176.461390
298;176.757120
299;177.053162
300;177.349998
301;177.646315
302;177.941983
303;178.238271
304;178.535010
305;178.831056
306;179.126558
307;179.423108
308;179.719934
309;180.015713
310;180.311043
311;180.607702
312;180.904556
313;181.200231
314;181.495621
315;181.792175
316;182.088830
317;182.384383
318;182.680103
319;182.976570
320;183.272930
321;183.568328
322;183.864238
323;184.160762
324;184.456995
325;184.752212
326;185.048058
327;185.344547
328;185.640771
329;185.936064
330;186.231709
331;186.528035
332;186.824189
333;187.119675
334;187.415251
335;187.711405
336;188.007370
337;188.302811
338;188.598407
339;188.894639
340;189.190428
341;189.485617
342;189.781180
343;190.077493
344;190.373368
345;190.668253
346;190.963667
347;191.259923
348;191.555847
349;191.850615
350;192.145994
351;192.442110
352;192.737813
353;193.032523
354;193.328113
355;193.624156
356;193.919406
357;194.214015
358;194.509707
359;194.805845
360;195.100738
361;195.395230
362;195.690873
363;195.986953
364;196.281704
365;196.576288
366;196.871746
367;197.167471
368;197.462128
369;197.756920
370;198.052303
371;198.347598
372;198.642170
373;198.936934
374;199.232326
375;199.527479
376;199.821923
377;200.116406
378;200.411668
379;200.706842
380;201.001313
381;201.295471
382;201.590467
383;201.885649
384;202.180061
385;202.474134
386;202.768943
387;203.063991
388;203.358024
389;203.652114
390;203.947032
391;204.241873
392;204.535400
393;204.829463
394;205.124464
395;205.419191
396;205.712385
397;206.006282
398;206.301198
399;206.595646
400;206.888827
401;207.182667
402;207.477353
403;207.771316
404;208.064534
405;208.358473
406;208.652962
407;208.946426
408;209.239535
409;209.533413
410;209.827782
411;210.121065
412;210.413910
413;210.707593
414;211.001712
415;211.295007
416;211.587739
417;211.881153
418;212.174850
419;212.468054
420;212.760725
421;213.054026
422;213.347388
423;213.640322
424;213.932773
425;214.225990
426;214.519358
427;214.811897
428;215.104006
429;215.396996
430;215.690399
431;215.982711
432;216.274542
433;216.567198
434;216.860482
435;217.152525
436;217.444283
437;217.736783
438;218.029713
439;218.321302
440;218.612957
441;218.905594
442;219.198112
443;219.489223
444;219.780680
445;220.073354
446;220.365571
447;220.656423
448;220.947592
449;221.240045
450;221.531867
451;221.822644
452;222.113772
453;222.405786
454;222.697126
455;222.987762
456;223.278984
457;223.570611
458;223.861557
459;224.151892
460;224.442960
461;224.734302
462;225.025173
463;225.315123
464;225.605797
465;225.896862
466;226.187682
467;226.477472
468;226.767671
469;227.058433
470;227.348968
471;227.638585
472;227.928535
473;228.219159
474;228.509179
475;228.798418
476;229.088250
477;229.378946
478;229.668401
479;229.957144
480;230.246845
481;230.537395
